region,GDP per capita (constant 2015 US$)
Bermuda,39527.7963
Bermuda,39029.44774
Bermuda,42301.43241
Bermuda,43253.54393
Bermuda,48593.39054
Bermuda,53985.64048
Bermuda,54082.13914
Bermuda,54904.69426
Bermuda,57309.15837
Bermuda,59713.44026
Bermuda,61244.53704
Bermuda,62615.31535
Bermuda,63637.71536
Bermuda,66534.04059
Bermuda,72208.73162
Bermuda,76180.80129
Bermuda,76999.15781
Bermuda,78360.68704
Bermuda,83239.53461
Bermuda,84633.16048
Bermuda,79583.13396
Bermuda,80483.73501
Bermuda,80164.5663
Bermuda,77902.65419
Bermuda,82395.27318
Bermuda,84794.99688
Bermuda,87481.3788
Bermuda,87131.94941
Bermuda,86436.23431
Bermuda,83812.1328
Bermuda,84371.03566
Bermuda,86444.67822
Bermuda,86361.95281
Bermuda,89518.27764
Bermuda,91261.15148
Bermuda,94878.49225
Bermuda,97857.32328
Bermuda,100602.9275
Bermuda,109001.586
Bermuda,115619.4747
Bermuda,113172.1206
Bermuda,116268.8169
Bermuda,118193.1487
Bermuda,119396.4494
Bermuda,125294.9594
Bermuda,128757.8807
Bermuda,125610.0334
Bermuda,117886.738
Bermuda,115839.796
Bermuda,112471.3475
Bermuda,106119.795
Bermuda,105492.4807
Bermuda,101374.4698
Bermuda,102005.6256
Bermuda,102407.3944
Bermuda,107237.0318
Bermuda,106697.7375
Bermuda,107036.2393
Bermuda,99745.24161
Bermuda,105187.7881
Bhutan,393.6374113
Bhutan,439.0146955
Bhutan,440.1904431
Bhutan,471.3626065
Bhutan,478.0274086
Bhutan,482.5437441
Bhutan,521.7691474
Bhutan,653.8796387
Bhutan,665.5970913
Bhutan,694.6528255
Bhutan,747.2365551
Bhutan,732.0397014
Bhutan,796.2482076
Bhutan,851.2086382
Bhutan,892.6330247
Bhutan,944.4082033
Bhutan,978.4956411
Bhutan,1013.410005
Bhutan,1053.542682
Bhutan,1110.068066
Bhutan,1115.626099
Bhutan,1176.654075
Bhutan,1272.632676
Bhutan,1338.509564
Bhutan,1385.397381
Bhutan,1456.480787
Bhutan,1535.428927
Bhutan,1795.073019
Bhutan,1859.071722
Bhutan,1961.940105
Bhutan,2171.91129
Bhutan,2319.592527
Bhutan,2411.898057
Bhutan,2436.861451
Bhutan,2551.484823
Bhutan,2695.638773
Bhutan,2889.495868
Bhutan,2998.475263
Bhutan,3065.85565
Bhutan,3219.643671
Bhutan,2878.437705
Bhutan,2976.906483
"Bolivia, Plurinational State of",1275.177509
Bolivia,1275.177509
"Bolivia, Plurinational State of",1275.255662
Bolivia,1275.255662
"Bolivia, Plurinational State of",1318.736793
Bolivia,1318.736793
"Bolivia, Plurinational State of",1379.257392
Bolivia,1379.257392
"Bolivia, Plurinational State of",1404.030313
Bolivia,1404.030313
"Bolivia, Plurinational State of",1442.221598
Bolivia,1442.221598
